Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
New England Patriots*,12,4,.750,465,315,150,9.4,-2.4,7.0,5.3,1.7
New York Jets,10,6,.625,387,314,73,4.6,-3.0,1.5,-0.5,2.0
Buffalo Bills,8,8,.500,379,359,20,1.3,-1.2,0.0,0.3,-0.2
Miami Dolphins,6,10,.375,310,389,-79,-4.9,-1.9,-6.8,-4.7,-2.2
Cincinnati Bengals*,12,4,.750,419,279,140,8.8,1.9,10.6,4.8,5.8
Pittsburgh Steelers+,10,6,.625,423,319,104,6.5,2.2,8.7,5.1,3.6
Baltimore Ravens,5,11,.313,328,401,-73,-4.6,2.6,-1.9,-0.7,-1.2
Cleveland Browns,3,13,.188,278,432,-154,-9.6,3.5,-6.1,-3.2,-2.9
Houston Texans*,9,7,.563,339,313,26,1.6,-2.4,-0.8,-3.3,2.6
Indianapolis Colts,8,8,.500,333,408,-75,-4.7,-2.0,-6.7,-3.1,-3.6
Jacksonville Jaguars,5,11,.313,376,448,-72,-4.5,-3.0,-7.5,-0.7,-6.9
Tennessee Titans,3,13,.188,299,423,-124,-7.8,-2.8,-10.5,-5.9,-4.6
Denver Broncos*,12,4,.750,355,296,59,3.7,2.1,5.8,0.3,5.5
Kansas City Chiefs+,11,5,.688,405,287,118,7.4,1.6,9.0,3.7,5.3
Oakland Raiders,7,9,.438,359,399,-40,-2.5,2.3,-0.2,1.4,-1.6
San Diego Chargers,4,12,.250,320,398,-78,-4.9,2.2,-2.6,-1.5,-1.1
Washington Redskins*,9,7,.563,388,379,9,0.6,-2.5,-1.9,-0.2,-1.8
Philadelphia Eagles,7,9,.438,377,430,-53,-3.3,-1.3,-4.6,-0.6,-4.0
New York Giants,6,10,.375,420,442,-22,-1.4,-2.2,-3.6,2.5,-6.1
Dallas Cowboys,4,12,.250,275,374,-99,-6.2,-0.7,-6.9,-7.0,0.1
Minnesota Vikings*,11,5,.688,365,302,63,3.9,1.9,5.8,1.1,4.7
Green Bay Packers+,10,6,.625,368,323,45,2.8,2.5,5.3,2.0,3.3
Detroit Lions,7,9,.438,358,400,-42,-2.6,2.4,-0.2,1.0,-1.3
Chicago Bears,6,10,.375,335,397,-62,-3.9,2.6,-1.3,-0.1,-1.2
Carolina Panthers*,15,1,.938,500,308,192,12.0,-3.9,8.1,6.0,2.1
Atlanta Falcons,8,8,.500,339,345,-6,-0.4,-3.4,-3.8,-4.0,0.3
New Orleans Saints,7,9,.438,408,476,-68,-4.3,-2.3,-6.6,1.1,-7.6
Tampa Bay Buccaneers,6,10,.375,342,417,-75,-4.7,-3.0,-7.7,-3.5,-4.2
Arizona Cardinals*,13,3,.813,489,313,176,11.0,1.3,12.3,9.0,3.4
Seattle Seahawks+,10,6,.625,423,277,146,9.1,2.2,11.3,5.4,6.0
St. Louis Rams,7,9,.438,280,330,-50,-3.1,3.0,-0.2,-3.8,3.6
San Francisco 49ers,5,11,.313,238,387,-149,-9.3,3.8,-5.5,-6.0,0.5
